50.94,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100
32.24,273,0,90,199,11,931,762,28
32.04,339,0,0,197,0,968,781,28
15.87,349,0,0,192,0,1056,809,3
18.03,164.6,0,150.4,181.6,11.7,1023.3,728.9,28
34.2,212.1,0,121.6,180.3,5.7,1057.6,779.3,56
52.82,280,129,100,172,9,825,805,28
26.2,165,0,143.6,163.8,0,1005.6,900.9,28
7.4,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3
25.02,446,24,79,162,11.6,967,712,3
14.94,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3
32.82,380,95,0,228,0,932,594,7
29.39,296,0,0,192,0,1085,765,90
25.75,220.8,147.2,0,185.7,0,1055,744.3,28
34.74,290.4,0,96.2,168.1,9.4,961.2,865,28
38.5,212,0,124.8,159,7.8,1085.4,799.5,28
27.92,385,0,0,186,0,966,763,14
13.46,150.7,0,185.3,166.7,15.6,1074.5,678,28
17.28,102,153,0,192,0,887,942,28
33.8,255,99,77,189,6,919,749,28
29.16,145,116,119,184,5.7,833,880,28
74.19,475,118.8,0,181.1,8.9,852.1,781.5,91
37.81,210.7,316.1,0,185.7,0,977,689.3,28
19.42,165,128.5,132.1,175.1,8.1,1005.8,746.6,3
74.36,424,22,132,168,8.9,822,750,56
8.37,153,102,0,192,0,888,943.1,7
23.51,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14
24.85,190.3,0,125.2,166.6,9.9,1079,798.9,28
76.24,275,180,120,162,10.4,830,765,28
56.34,387,20,94,157,14.3,938,845,56
41.05,349,0,0,192,0,1047,806,180
48.59,178,129.8,118.6,179.9,3.6,1007.3,746.8,56
72.3,475,118.8,0,181.1,8.9,852.1,781.5,56
37.42,382,0,0,186,0,1047,739,28
41.37,516,0,0,162,8.3,801,802,28
24.28,194.7,0,100.5,170.2,7.5,998,901.8,14
19.99,147,115,89,202,9,860,829,28
33.49,491,26,123,210,3.9,882,699,7
36.35,152,178,139,168,18,944,695,28
45.37,251.8,0,99.9,146.1,12.4,1006,899.8,100
23.52,149,118,92,183,7,953,780,28
4.78,153,102,0,192,0,888,943.1,3
49.19,304,76,0,228,0,932,670,90
11.41,200,133,0,192,0,965.4,806.2,3
38.21,375,0,0,186,0,1038,758,28
26.86,152.6,238.7,0,200,6.3,1001.8,683.9,28
59.76,540,0,0,173,0,1125,613,14
9.56,203.5,305.3,0,203.5,0,963.4,630,3
13.82,250,0,95.7,187.4,5.5,956.9,861.2,3
34.9,388.6,97.1,0,157.9,12.1,852.1,925.7,7
