0,25,4,104,95,2375,17.5
1,18,6,225,105,3613,16.5
0,22,4,121,98,2945,14.5
1,26.6,8,350,105,3725,19
0,21.6,4,121,115,2795,15.7
1,15.5,8,318,145,4140,13.7
1,18,8,307,130,3504,12
1,18.5,6,250,98,3525,19
1,13,8,400,190,4422,12.5
1,36.1,4,98,66,1800,14.4
1,26.6,4,151,84,2635,16.4
0,27,4,97,88,2130,14.5
1,15,6,258,110,3730,19
0,16.2,6,163,133,3410,15.8
1,22,6,198,95,2833,15.5
0,43.1,4,90,48,1985,21.5
1,28.4,4,151,90,2670,16
1,27,4,140,86,2790,15.6
1,25,4,140,75,2542,17
1,28,4,98,80,2164,15
1,13,8,350,145,4055,12
0,24,4,113,95,2278,15.5
1,25.5,4,140,89,2755,15.8
1,15,8,318,150,3777,12.5
0,25,4,121,115,2671,13.5
0,23.9,4,119,97,2405,14.9
0,30,4,88,76,2065,14.5
1,16.9,8,350,155,4360,14.9
0,31.8,4,85,65,2020,19.2
0,29,4,68,49,1867,19.5
0,31.9,4,89,71,1925,14
1,14,8,400,175,4464,11.5
0,31,4,71,65,1773,19
1,23,4,140,83,2639,17
1,19.2,8,305,145,3425,13.2
1,14,8,304,150,4257,15.5
0,31.5,4,98,68,2045,18.5
1,17,8,305,130,3840,15.4
1,16,6,250,100,3781,17
0,36,4,105,74,1980,15.3
1,22,6,250,105,3353,14.5
1,15.5,8,400,190,4325,12.2
1,12,8,455,225,4951,11
1,34.2,4,105,70,2200,13.2
0,28,4,107,86,2464,15.5
0,26,4,79,67,1963,15.5
0,24,4,113,95,2372,15
1,18,6,250,88,3021,16.5
1,26,4,98,79,2255,17.7
1,20,8,262,110,3221,13.5
